Edad,Genero,LugarOrigen,PromedioBachillerato,PuntajeExamenAdmision,NivelSocioeconomico,TieneBeca,PromedioPrimerSemestre,Desercion
20,Femenino,Ciudad,9.1,79,Alto,0,8.19,1
22,Masculino,Ciudad,8.97,51,Alto,0,7.1,1
19,Masculino,Ciudad,7.82,68,,0,7.64,1
21,Masculino,Rural,8.79,58,,0,7.41,1
17,Femenino,Ciudad,8.95,67,Medio,1,8.27,0
21,Femenino,Ciudad,8.33,93,Bajo,1,8.64,0
22,Femenino,Rural,8.02,72,Bajo,0,7.76,0
22,Masculino,Rural,7.47,79,Bajo,0,7.87,1
17,Masculino,Rural,7.11,89,Medio,1,7.67,0
18,Masculino,Ciudad,6.94,81,Alto,0,,1
17,Femenino,Ciudad,8.96,65,Medio,1,7.73,0
41,Masculino,Ciudad,8.62,98,Medio,1,8.06,0
19,Masculino,Rural,8.11,69,Medio,0,7.71,1
18,Femenino,Rural,8.23,64,Bajo,0,7.09,1
17,Femenino,Ciudad,8.67,54,Bajo,1,7.59,0
21,Femenino,Ciudad,8.37,72,Alto,0,8.15,0
18,Femenino,Ciudad,7.43,72,Bajo,1,7.62,0
18,Masculino,Rural,9.23,87,Alto,0,8.56,1
17,Femenino,Rural,8.74,66,Medio,1,7.56,0
18,Femenino,Ciudad,8.71,72,Medio,1,7.8,0
21,Masculino,Ciudad,9.17,63,Medio,0,7.85,1
22,Femenino,Ciudad,7.85,78,Medio,0,8.13,0
18,Femenino,Rural,9.47,68,Alto,0,8.58,0
22,Femenino,Rural,8.39,58,Alto,0,7.55,0
21,Femenino,Rural,9.21,69,Medio,1,9.0,1
17,Masculino,Ciudad,9.09,73,Bajo,0,8.75,1
19,Femenino,Ciudad,7.67,72,Medio,0,7.43,1
18,Masculino,Ciudad,8.9,80,Alto,0,7.97,1
19,Masculino,Ciudad,8.76,55,Bajo,0,7.12,0
21,Femenino,Rural,8.52,61,Medio,0,7.45,1
18,Masculino,Rural,8.42,76,Medio,0,8.53,0
38,Femenino,Rural,8.43,99,Medio,1,7.55,1
38,Femenino,Rural,9.15,99,Bajo,0,8.06,1
19,Masculino,Ciudad,8.96,45,Medio,0,6.84,0
18,Masculino,Rural,8.52,97,Alto,0,8.97,0
19,Masculino,Rural,7.31,67,Bajo,1,7.52,0
18,Femenino,Rural,8.9,81,Bajo,1,9.41,1
17,Femenino,Ciudad,9.08,66,Alto,0,8.01,0
22,Masculino,Ciudad,10.0,74,Bajo,0,8.94,0
19,Femenino,Ciudad,9.36,84,Alto,0,8.41,0
20,Femenino,Rural,6.98,81,Medio,0,8.43,0
20,Femenino,Ciudad,8.56,68,Bajo,1,7.16,0
21,Femenino,Ciudad,9.95,68,Alto,0,9.3,1
18,Masculino,Ciudad,9.0,80,Medio,0,8.42,1
19,Femenino,Ciudad,8.76,93,Medio,0,8.69,0
21,Masculino,Ciudad,9.22,71,Bajo,0,7.85,1
19,Femenino,Ciudad,8.0,89,Medio,0,9.59,0
18,Masculino,Ciudad,8.88,67,Bajo,0,8.14,0
20,Masculino,Ciudad,8.3,79,Bajo,1,8.17,0
41,Femenino,Rural,8.48,98,Alto,0,8.77,0
20,Masculino,Ciudad,9.16,65,,1,7.81,0
21,Masculino,Rural,7.76,62,Medio,0,7.16,0
22,Masculino,Ciudad,9.53,81,Bajo,0,9.01,0
17,Masculino,Ciudad,8.16,64,Medio,0,7.23,1
21,Masculino,Rural,8.71,61,Bajo,1,8.27,1
18,Masculino,Ciudad,7.38,63,Alto,0,,0
17,Femenino,Ciudad,9.08,64,Medio,0,7.25,1
21,Femenino,Ciudad,9.66,78,Bajo,1,8.79,0
18,Femenino,Rural,8.09,75,Bajo,1,7.99,0
42,Femenino,Ciudad,7.61,96,Bajo,1,7.21,0
22,Femenino,Ciudad,8.72,74,Medio,0,7.79,1
18,Femenino,Ciudad,9.66,64,Bajo,1,8.09,0
19,Masculino,Ciudad,7.34,77,Medio,0,8.09,0
18,Femenino,Ciudad,7.61,81,Medio,0,7.6,0
18,Femenino,Ciudad,8.14,75,Bajo,1,8.63,0
22,Masculino,Ciudad,7.84,74,Medio,0,7.38,0
19,Femenino,Ciudad,7.85,62,Medio,0,7.36,0
21,Masculino,Ciudad,6.82,72,,0,6.76,0
21,Femenino,Rural,8.97,61,Bajo,1,8.23,0
18,Otro,Ciudad,8.77,69,,1,7.5,0
19,Masculino,Ciudad,7.14,53,Medio,1,6.8,0
19,Femenino,Rural,9.67,53,Medio,1,8.0,0
22,Femenino,Ciudad,9.84,68,Medio,1,8.31,0
20,Masculino,Ciudad,7.9,64,Medio,0,7.24,0
21,Masculino,Rural,9.43,71,Medio,0,9.27,0
22,Masculino,Rural,8.04,68,Medio,0,7.64,0
17,Masculino,Ciudad,8.64,70,Alto,0,7.65,0
21,Femenino,Rural,7.83,76,Bajo,1,7.14,0
22,Femenino,Ciudad,10.0,65,Bajo,1,8.87,0
21,Femenino,Ciudad,8.26,67,Bajo,1,7.77,0
20,Masculino,Ciudad,8.6,84,Bajo,1,8.89,1
17,Masculino,Rural,7.95,70,,0,6.84,0
20,Femenino,Ciudad,9.99,68,Alto,0,8.14,0
17,Femenino,Ciudad,10.0,70,Bajo,1,9.41,0
18,Femenino,Ciudad,9.8,68,Bajo,1,8.78,0
22,Femenino,Ciudad,9.27,62,Medio,0,8.34,0
17,Masculino,Ciudad,8.0,60,Alto,0,6.72,0
20,Masculino,Ciudad,9.16,62,Bajo,1,,1
21,Masculino,Ciudad,8.49,78,Medio,0,8.74,0
17,Femenino,Ciudad,9.55,63,Bajo,0,8.8,0
22,Femenino,Ciudad,9.39,68,,1,7.83,1
17,Masculino,Ciudad,7.98,77,Alto,0,7.23,0
19,Masculino,Ciudad,9.26,67,Alto,0,8.19,0
21,Masculino,Ciudad,9.05,76,Bajo,0,8.08,0
22,Masculino,Rural,6.28,54,Alto,0,5.54,1
22,Femenino,Ciudad,9.14,68,Medio,1,7.61,0
18,Masculino,Ciudad,8.15,70,Alto,0,7.49,0
20,Femenino,Ciudad,7.79,70,Medio,0,6.91,0
18,Femenino,Ciudad,7.83,53,Medio,0,6.29,0
22,Femenino,Ciudad,8.39,82,Medio,1,8.46,0
46,Femenino,Ciudad,8.88,96,Medio,0,7.76,0
17,Masculino,Ciudad,7.41,73,Bajo,0,7.62,1
17,Femenino,Ciudad,8.65,70,Bajo,0,7.17,0
21,Femenino,Ciudad,8.96,80,Bajo,0,8.58,1
43,Masculino,Ciudad,9.99,99,Medio,0,10.0,0
17,Femenino,Ciudad,7.64,57,Bajo,1,6.68,1
17,Femenino,Ciudad,8.22,63,Medio,0,7.88,1
17,Masculino,Ciudad,8.71,71,Alto,0,8.51,1
20,Femenino,Ciudad,9.42,58,Bajo,0,8.44,1
20,Femenino,Ciudad,8.26,77,Medio,1,8.15,0
19,Femenino,Ciudad,9.46,78,Medio,0,9.09,1
48,Femenino,Rural,6.95,96,Alto,0,7.54,0
36,Masculino,Ciudad,7.5,97,Bajo,1,,0
21,Masculino,Ciudad,8.78,83,Medio,1,8.06,0
21,Masculino,Rural,7.37,58,Medio,1,5.91,1
19,Masculino,Rural,7.56,70,Alto,0,6.59,0
20,Masculino,Ciudad,8.08,62,Medio,0,7.22,0
22,Femenino,Ciudad,9.12,78,Medio,0,8.92,0
22,Masculino,Rural,6.98,51,Medio,1,5.71,0
19,Masculino,Ciudad,8.64,69,Alto,0,8.43,0
22,Masculino,Ciudad,9.33,73,Medio,1,8.28,0
21,Masculino,Ciudad,8.34,60,Bajo,1,7.18,0
18,Femenino,Ciudad,8.2,63,Alto,0,7.05,0
17,Femenino,Ciudad,8.82,70,Medio,1,7.16,1
20,Femenino,Ciudad,8.35,79,,0,,0
20,Femenino,Ciudad,9.61,59,Bajo,1,9.01,1
19,Masculino,Ciudad,7.61,61,Medio,1,6.99,0
20,Masculino,Ciudad,8.46,81,Bajo,1,7.4,0
21,Femenino,Ciudad,8.66,67,Medio,0,8.28,0
22,Masculino,Ciudad,8.2,62,Bajo,1,6.59,0
21,Femenino,Ciudad,6.2,77,Medio,1,6.21,0
19,Femenino,Rural,8.37,65,Alto,0,,0
21,Femenino,Ciudad,9.22,80,,1,8.81,1
22,Femenino,Ciudad,9.12,63,Alto,0,7.51,0
18,Masculino,Ciudad,8.78,68,Medio,0,7.87,1
49,Femenino,Ciudad,7.62,99,Alto,0,8.11,0
18,Masculino,Ciudad,8.82,67,Medio,0,8.42,0
17,Masculino,Ciudad,8.04,77,Medio,0,8.55,1
18,Femenino,Ciudad,8.78,69,Medio,0,9.0,0
17,Masculino,Ciudad,8.6,89,Alto,0,9.16,1
17,Masculino,Ciudad,7.72,85,Medio,0,7.95,0
18,Femenino,Ciudad,7.79,56,Bajo,0,7.37,0
19,Femenino,Ciudad,8.78,75,Medio,1,8.51,0
22,Femenino,Ciudad,8.32,61,Medio,0,7.72,1
21,Femenino,Ciudad,7.83,71,Medio,0,7.66,1
21,Femenino,Rural,7.76,70,Medio,0,7.03,1
22,Masculino,Ciudad,8.26,59,Medio,0,6.82,0
17,Femenino,Ciudad,9.75,80,Medio,0,,0
17,Femenino,Rural,8.08,72,Bajo,1,7.8,0
19,Femenino,Ciudad,8.49,67,Medio,0,7.44,0
20,Masculino,Ciudad,8.58,65,Bajo,1,7.98,0
18,Femenino,Ciudad,7.6,71,Bajo,1,8.45,0
17,Femenino,Ciudad,7.09,74,Bajo,1,6.35,0
21,Femenino,Ciudad,7.68,68,Bajo,0,7.65,0
19,Otro,Ciudad,8.7,41,Medio,1,6.85,0
18,Femenino,Ciudad,8.57,70,Bajo,1,8.18,1
19,Masculino,Ciudad,9.06,55,,0,7.45,1
18,Masculino,Ciudad,8.58,67,Bajo,1,7.79,0
18,Femenino,Ciudad,8.41,56,,1,7.35,1
22,Masculino,Ciudad,8.02,55,,1,6.89,0
17,Femenino,Ciudad,9.21,82,Bajo,1,8.06,0
19,Masculino,Rural,7.76,66,Medio,0,7.21,0
19,Masculino,Ciudad,7.61,66,Medio,1,6.5,0
22,Masculino,Ciudad,8.95,74,Medio,0,8.69,1
21,Femenino,Ciudad,7.43,66,Medio,0,6.18,0
21,Masculino,Ciudad,10.0,91,Bajo,0,10.0,0
17,Femenino,Ciudad,8.56,67,Alto,0,8.05,0
17,Femenino,Ciudad,8.78,73,Medio,0,8.43,0
20,Femenino,Ciudad,7.85,79,Medio,1,6.82,0
22,Masculino,Ciudad,8.25,86,Bajo,0,8.22,0
21,Masculino,Ciudad,8.16,62,Bajo,1,7.98,0
18,Femenino,Rural,8.07,65,Bajo,0,7.21,1
19,Masculino,Ciudad,9.01,82,Bajo,0,8.17,0
17,Femenino,Ciudad,8.14,78,Medio,0,7.69,0
19,Masculino,Ciudad,9.31,80,Medio,0,8.79,0
19,Femenino,Rural,10.0,56,Medio,0,7.83,0
20,Masculino,Ciudad,8.26,85,Medio,0,9.0,0
21,Femenino,Ciudad,8.62,62,Medio,0,7.64,1
17,Masculino,Rural,8.8,71,Medio,1,7.88,0
19,Femenino,Rural,9.95,68,Alto,0,8.06,1
17,Femenino,Rural,8.43,61,Bajo,0,7.75,0
18,Femenino,Ciudad,7.84,55,Bajo,1,7.17,1
20,Masculino,Ciudad,7.49,52,Bajo,1,6.2,1
18,Masculino,Ciudad,8.45,71,,0,,0
17,Femenino,Rural,8.14,54,Alto,0,7.28,0
17,Masculino,Ciudad,10.0,58,Bajo,0,8.25,1
21,Masculino,Ciudad,9.92,67,Alto,0,8.83,0
19,Masculino,Ciudad,7.67,43,Bajo,1,7.33,0
19,Masculino,Rural,7.93,77,Alto,0,7.86,0
18,Femenino,Ciudad,8.56,45,Bajo,1,6.71,0
20,Femenino,Ciudad,9.62,69,Bajo,1,7.97,0
38,Masculino,Ciudad,8.55,99,Medio,0,7.78,0
19,Masculino,Ciudad,7.98,75,Bajo,1,7.89,0
21,Masculino,Ciudad,8.45,69,Bajo,0,,0
18,Femenino,Ciudad,8.0,90,Bajo,1,9.27,1
18,Femenino,Ciudad,8.98,72,Medio,0,8.53,0
22,Masculino,Ciudad,7.93,80,Medio,0,7.91,0
21,Masculino,Ciudad,8.09,62,Bajo,1,7.01,0
20,Masculino,Ciudad,9.43,71,Medio,0,8.64,1
21,Masculino,Ciudad,7.89,85,Medio,0,7.7,0
20,Masculino,Ciudad,7.34,67,Bajo,1,7.2,0
21,Femenino,Ciudad,8.58,71,Medio,1,8.27,0
21,Femenino,Ciudad,8.21,79,Bajo,1,8.01,1
17,Masculino,Ciudad,8.91,62,Bajo,1,7.53,0
18,Masculino,Ciudad,8.75,48,Medio,1,6.1,0
21,Femenino,Rural,8.47,72,Bajo,1,8.56,0
22,Femenino,Ciudad,8.45,79,Medio,0,8.47,1
21,Masculino,Rural,7.91,56,Medio,0,7.22,1
44,Femenino,Ciudad,8.57,96,Bajo,0,,1
18,Femenino,Ciudad,9.21,76,Medio,0,9.28,1
19,Masculino,Rural,7.72,47,Bajo,1,6.29,1
18,Masculino,Ciudad,8.5,60,Alto,0,7.38,0
19,Masculino,Ciudad,9.33,66,Medio,0,7.7,1
21,Femenino,Ciudad,8.9,68,Medio,0,7.18,1
21,Masculino,Ciudad,9.55,62,Medio,1,8.81,0
17,Femenino,Rural,8.05,62,Bajo,0,7.95,0
22,Femenino,Rural,7.04,86,Medio,0,7.61,1
19,Masculino,Rural,8.66,68,Alto,0,7.61,0
20,Masculino,Ciudad,8.79,63,Medio,1,7.61,1
17,Masculino,Ciudad,9.59,69,Medio,0,8.37,1
19,Masculino,Rural,9.45,75,Alto,0,8.09,1
35,Masculino,Ciudad,8.93,99,Bajo,0,8.03,0
17,Femenino,Ciudad,9.11,67,Bajo,0,,1
21,Femenino,Ciudad,8.35,63,Medio,0,8.06,1
19,Femenino,Ciudad,7.52,63,Medio,0,7.06,0
